2022-23,Biology B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Ecology-and-Evolutionary-Biology/Biology-BA
Planner: Biology B.A. Planner 1
1,BIOE 20C,CHEM 1A,CHEM 1B
1,,,STAT 5 or STAT 7 & STAT 7L
1,,,
2,BIOL 20A,BIOE 20B,BIOL 105
2,,PHYS 1,
2,,,
3,BIOE 109,BIOE 107,Anatomy/Physiology
3,Biology elective*,,
3,,,
4,Biology elective*,Biology elective*,Biology elective*
4,,,
Planner: Biology B.A. Planner 2
3,BIOL 105,BIOE 107,Anatomy/Physiology
3,,BIOE 109,STAT 5 or STAT 7 & STAT 7L
3,,,
4,Biology elective*,Biology elective*,Biology elective*
4,Biology elective*,PHYS 1,
2022-23,Biology B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Molecular-Cell-and-Developmental-Biology/Biology-BS
Planner: Biology B.S. Planner 1
1,CHEM 1A,CHEM 1B,CHEM 1C & CHEM 1N
1,MATH 11A,MATH 11B,BIOL 20A
1,,,
2,BIOE 20B & BIOL 20L,BIOL 100,BIOL 101 & BIOL 101L
2,,CHEM 8B,
2,CHEM 8A & CHEM 8L,,BIOL 105
3,BIOL 110,BIOE 107,BIOE 109
3,BIOE 20C,PHYS 6A & PHYS 6L,PHYS 6B OR PHYS 6C
3,,,
4,,"STAT 5 OR
STAT 7 & STAT 7L",Laboratory
4,Upper-division elective,Upper-division elective,Upper-division elective
Planner: Biology B.S. Planner 2
3,BIOL 105,BIOL 100,BIOL 101 & BIOL 101L
3,BIOE 107,PHYS 6A & PHYS 6L,PHYS 6B or PHYS 6C
3,,,
4,BIOL 110,Upper-division elective,Upper-division elective
4,BIOE 109,Laboratory,Upper-division elective
2022-23,Biomolecular Engineering and Bioinformatics B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Baskin-Engineering/Biomolecular-Engineering/Biomolecular-Engineering-and-Bioinformatics-BS
Planner: Biomolecular Engineering and Bioinformatics B.S. Planner 1
1,CHEM 1A,MATH 19B,AM 10
1,MATH 19A,CHEM 1B & CHEM 1M,CHEM 1C & CHEM 1N
1,,,BME 21L
2,BME 22L,BME 23L,BME 105
2,CHEM 8A,CHEM 8B,PHYS 5B & PHYS 5M
2,BIOL 20A,PHYS 5A & PHYS 5L,
2,,AM 20,
3,BIOC 100A,BIOC 100B,AM 115
3,BME 110,BME 160,BME 163
3,BME 185,STAT 131,
4,BME 129A,BME 129B,BME 129C
Planner: Biomolecular Engineering and Bioinformatics B.S. Planner 2
1,CHEM 1A,MATH 19B,BIOL 20A
1,MATH 19A,CHEM 1B & CHEM 1M,CHEM 1C & CHEM 1N
1,,,BME 21L
2,BME 22L,BME 23L,BME 105
2,BIOC 100A,BIOC 100B,PHYS 5B & PHYS 5M
2,BME 80G,PHYS 5A & PHYS 5L,
3,BME 185,AM 20,
3,BME 110,BME 160,BME 163
3,AM 10,,
4,BME 129A,BME 129B,BME 129C
4,STAT 131,STAT 132,Elective
Planner: Biomolecular Engineering and Bioinformatics B.S. Planner 3
1,BIOC 100A,BIOC 100B,BME 105
1,BME 80G,BME 110,BME 160
1,BME 185,AM 20,PHYS 5B & PHYS 5M
1,BME 22L,BME 23L,
2,BME 129A,BME 129B,BME 129C
2,STAT 131,STAT 132,BME 163
Planner: Biomolecular Engineering and Bioinformatics B.S. Planner 4
1,CHEM 1A,CHEM 1B & CHEM 1M,BIOL 20A
1,MATH 19A,MATH 19B,CHEM 1C & CHEM 1N
1,,,
2,CHEM 8A,CHEM 8B,BME 105
2,AM 10,CSE 16,BME 160
2,BME 80G,,AM 30
3,BIOC 100A,CSE 13S,BME 163
3,STAT 131,STAT 132,CSE 101
3,CSE 30,,CSE 182
4,BME 205,BME 230A,Elective
4,BME 110,CSE 185E,CSE 144
Planner: Biomolecular Engineering and Bioinformatics B.S. Planner 5
3,BIOC 100A,BME 110,BME 105
3,AM 10,BME 160,BME 163
3,STAT 131,STAT 132,CSE 30
4,BME 205,BME 230A,Elective
4,BME 80G,CSE 185E,CSE 182
2022-23,Biotechnology B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Baskin-Engineering/Biomolecular-Engineering/Biotechnology-BA
Planner: Biotechnology B.A. Planner 1
1,BME 18,CHEM 1A,BIOL 20A
1,,BME 80H,
1,,,
2,STAT 7 & STAT 7L,BME 5,BME 105
2,,CSE 20,
2,,,
3,BME 130,BME 110,BME 160
3,BME 185,METX 100,
3,,,
4,BME 132*,BME 175,
4,,,
Planner: Biotechnology B.A. Planner 2
3,BME 130*,BME 5,BME 80H
3,BME 185,BME 160,BME 105
3,,,
4,BME 132*,BME 175,
4,BME 140*,BME 110,
