1st Year,,PHYS 116A,PHYS 116C,
2nd Year,PHYS 110A,PHYS 115,Elective,
2nd Year,PHYS 182*,PHYS 112,STAT 131,
2023-24,Art & Design: Games + Playable Media B.A.,https://catalog.ucsc.edu/en/current/general-catalog/academic-units/arts-division/performance-play-and-design/art-design-games-playable-media-ba
Art and Design: Games and Playable Media B.A. Planner
,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (frosh),ARTG 10,"ARTG 20 or ARTG 25
			or ARTG 30",ARTG 40 or ARTG 50,
1st (frosh),College 1,HAVC elective,"Lower-division
			arts elective**",
1st (frosh),,WRIT 1/WRIT 1E (if needed),,
2nd (soph),ARTG 40 or ARTG 50,,,
2nd (soph),WRIT 2,,,
2nd (soph),,,,
3rd (junior),Upper-div ARTG req. 1,Upper-div: ARTG req. 2,Upper-div: elective 2,
3rd (junior),Upper-div: elective 1,,Upper-div: elective 3,
3rd (junior),,,,
4th (senior),Upper-div:  ARTG req. 3 (DC),Upper-div: ARTG req. 4 (SC),Upper-div: elective 4,
4th (senior),,,,
Transfer Students Planner
,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (junior),ARTG 10,ARTG 40 or ARTG 50,Upper-div: ARTG req. 1,
1st (junior),"ARTG 20 or ARTG 25
			or ARTG 30",Upper-div: elective 1,Upper-div: elective 2,
1st (junior),ARTG 40 or ARTG 50,,HAVC Elective,
1st (junior),,,,
2nd (senior),Upper-div: ARTG req. 2 (DC),Upper-div: ARTG req. 3 (SC),Upper-div: elective 4,
2nd (senior),Upper-div: elective 3,Upper-div: ARTG req. 4,,
2nd (senior),,,,
2023-24,Art B.A.,https://catalog.ucsc.edu/en/current/general-catalog/academic-units/arts-division/art/art-ba
Art Major Planner (Incoming Frosh)
Year,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (frosh),ART 10E,ART 10D,ART 10F,
1st (frosh),College 1,WRIT 1/WRIT 1E (if needed),,
1st (frosh),,,,
2nd (soph),ART 20 series,ART 20 series,ART 20 series,
2nd (soph),HAVC*,ART 80T,HAVC*,
2nd (soph),WRIT 2**,,,
3rd (junior),UD studio,ART 190A,UD Studio,
3rd (junior),,UD studio,,
3rd (junior),,,,
4th (senior),UD studio,UD studio,UD studio or ART 190B,
4th (senior),UD studio,,,
Art Major Planner (Junior Transfers)
Year,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (junior),UD studio,ART 190A,UD studio,
1st (junior),ART 10 Series�,ART 80T,HAVC*,
1st (junior),,,,
2nd (senior),UD studio,UD studio,UD studio,
2nd (senior),HAVC*,UD studio,UD studio or ART 190B,
2023-24,Biochemistry and Molecular Biology B.S.,https://catalog.ucsc.edu/en/current/general-catalog/academic-units/physical-and-biological-sciences-division/chemistry-and-biochemistry/biochemistry-and-molecular-biology-bs
Sample Four-Year Planner
,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (frosh),"MATH 11A
            or MATH 19A","MATH 11B
            or MATH 19B",BIOL 20A,
