1,BME 185,AM 20,PHYS 5B & PHYS 5M
1,BME 22L,BME 23L,
2,BME 129A,BME 129B,BME 129C
2,STAT 131,STAT 132,BME 163
Planner: Biomolecular Engineering and Bioinformatics B.S. Planner 4
1,CHEM 1A,CHEM 1B & CHEM 1M,BIOL 20A
1,MATH 19A,MATH 19B,CHEM 1C & CHEM 1N
1,,,
2,CHEM 8A,CHEM 8B,BME 105
2,AM 10,AM 30,BME 160
2,BME 80G,CSE 16,
3,BIOC 100A,CSE 30,BME 163
3,STAT 131,STAT 132,CSE 101
3,CSE 13S,,CSE 182
4,BME 205,BME 230A,
4,BME 110,CSE 185E,CSE 144
Planner: Biomolecular Engineering and Bioinformatics B.S. Planner 5
3,BIOC 100A,BME 110,BME 105
3,AM 10,BME 160,BME 163
3,STAT 131,STAT 132,CSE 30
4,BME 205,BME 230A,Elective
4,BME 80G,CSE 185E,CSE 182
2020-21,Biotechnology B.A.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Baskin-School-of-Engineering/Biomolecular-Engineering/Biotechnology-BA
Planner: Biotechnology B.A. Planner 1
1,BME 18,CHEM 1A,BIOL 20A
1,,,
1,,,
2,BME 80H,BME 5,STAT 7
2,,CSE 20,STAT 7L
2,,,
3,BME 130*,BME 105,BME 160
3,BME 132*,,
3,BME 185,,
4,BME 110,BME 175,
4,BME 140*,,
Planner: Biotechnology B.A. Planner 2
3,BME 130*,BME 5,BME 80H
3,BME 132*,BME 105,BME 160
3,BME 185,,
4,BME 110,BME 175,
4,BME 140*,,
2020-21,Business Management Economics B.A.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Social-Sciences-Division/Economics/Business-Management-Economics-BA
Planner: Business Management Economics B.A. Planner 1
1,MATH 3 or AM 3,ECON 1,ECON 2
1,,AM 11A/ECON 11A,AM 11B/ECON 11B
1,,,
2,ECON 100A,ECON 100B,ECON 113
2,ECON 10A,STAT 5 or STAT 7 & STAT 7L,ECON 10B
2,,,
3,Econ elective,Business Management elective,Business Management elective
3,,Computer Course,
3,,,
4,Business Management elective,ECON 197 or ECON 104,Field Study (optional)
4,Computer course,"ECON 101, ECON 133 or ECON
            135 (Business Management elective)",
Planner: Business Management Economics B.A. Planner 2
3,AM 11B/ECON 11B,ECON 100A,ECON 100B
3,ECON elective,Computer course,Business Management elective
3,,ECON 10A,ECON 10B
4,ECON 113,Business Management elective,Field Study (optional)
4,Business Management elective,"ECON 101, ECON 133 or ECON
            135 (Business Management elective)",Computer Course
Planner: Business Management Economics B.A. Planner 3
1,MATH 3 or AM 3,ECON 1,ECON 2
1,Writing course,AM 11A/ECON 11A,AM 11B/ECON 11B
1,,,
2,ECON 100A,ECON 100B,ECON 113
2,ECON 10A,ECON 10B,ECON 110
2,,STAT 5 or STAT 7 & STAT 7L,Computer Literacy course
3,ECON 111A,ECON 111B,ECON 111C
3,ECON elective,ECON 112,ECON 116
3,,PHIL 22 (CC GE) *,
4,ECON 117B,ECON 117A,Ethics course*
4,Field Study internship (optional),ECON 197 or ECON 104,Field Study (optional)
Planner: Business Management Economics B.A. Planner 4
3,AM 11B/ECON 11B,ECON 100A,ECON 100B
3,ECON 111A,ECON 111B,ECON 111C
3,Computer literacy course,PHIL 22 (CC GE)*,Ethics course*
4,ECON 113,"ECON101, 133 or 135",ECON 110
4,ECON 117B,ECON 117A,ECON 116
2020-21,Chemistry B.A.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Chemistry-and-Biochemistry/Chemistry-BA
2020-21,Chemistry B.S.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Chemistry-and-Biochemistry/Chemistry-BS
Planner: Chemistry B.S. Planner 1
1,MATH 11 or MATH 19A,MATH 11B or MATH 19B,CHEM 1C & CHEM 1N
1,CHEM 1A,CHEM 1B & CHEM 1M,MATH 21
1,,,
2,CHEM 8A & CHEM 8L,CHEM 8B & CHEM 8M,CHEM 110 & CHEM 110L
2,PHYS 6A & PHYS 6L,MATH 22,PHYS 6B & PHYS 6M
2,,,
3,CHEM 163A,CHEM 163B,CHEM 163C
3,PHYS 6C & PHYS 6N,CHEM 151A & CHEM 151L,CHEM 103
3,,,
4,CHEM 146,CHEM 164,CHEM elective
4,CHEM elective,,
Planner: Chemistry B.S. Planner 2
1,CHEM 163A,CHEM 163B,CHEM 163C
1,PHYS 6C & PHYS 6N,CHEM 151A & CHEM 151L,1st (junior)
1,,CHEM 110 & CHEM 110L,1st (junior)
1,,,
1,Winter,Spring,2nd (senior)
2,CHEM 164,CHEM elective,2nd (senior)
2,MATH 21,CHEM 103,2nd (senior)
Planner: Chemistry B.S. Planner 3
1,MATH 11 or MATH 19A,MATH 11B or MATH 19B,BIOL 20A
1,CHEM 1A,CHEM 1B & CHEM 1M,CHEM 1C & CHEM 1N
1,,,
